index,publication_date,effective_on,agencies,agency_names,title,abstract,action,type,president,dates,citation,document_number,regulation_id_numbers,json_url,raw_text_url,html_url,president_id,publication_dt,publication_year,publication_month,susp
28,2001-02-05,2000-12-29,"[{'raw_name': 'DEPARTMENT OF AGRICULTURE', 'name': 'Agriculture Department', 'id': 12, 'url': 'https://www.federalregister.gov/agencies/agriculture-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/12', 'parent_id': None, 'slug': 'agriculture-department'}, {'raw_name': 'Food and Nutrition Service', 'name': 'Food and Nutrition Service', 'id': 200, 'url': 'https://www.federalregister.gov/agencies/food-and-nutrition-service', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/200', 'parent_id': 12, 'slug': 'food-and-nutrition-service'}]","Agriculture Department, Food and Nutrition Service","Special Supplemental Nutrition Program for Women, Infants and Children (WIC); Food Delivery Systems: Delay of Effective Date","In accordance with the memorandum of January 20, 2001, from the Assistant to the President and Chief of Staff, entitled ``Regulatory Review Plan,'' published in the Federal Register on January 24, 2001, this action temporarily delays for 60 days the effective date of the rule entitled Special Supplemental Nutrition Program for Women, Infants and Children (WIC); Food Delivery Systems, published in the Federal Register on December 29, 2000, 65 FR 83248. The rule strengthens vendor management in retail food delivery systems by establishing mandatory selection criteria, training requirements, criteria to be used to certify high-risk vendors, and monitoring requirements, including compliance investigations. To the extent that 5 U.S.C. section 553 applies to this action, it is exempt from notice and comment because it constitutes a rule of procedure under 5 U.S.C. section 553(b)(A). Alternatively, the Department's implementation of this rule without opportunity for public comment, effective immediately upon publication today in the Federal Register, is based on the good cause exceptions in 5 U.S.C. section 553(b)(B) and 553(d)(3), seeking public comment is impracticable, unnecessary and contrary to the public interest. The temporary 60-day delay in effective date is necessary to give Department officials the opportunity for further review and consideration of new regulations, consistent with the Assistant to the President's memorandum of January 20, 2001. Given the imminence of the effective date, seeking prior public comment on this temporary delay would have been impractical, as well as contrary to the public interest in the orderly promulgation and implementation of regulations. The imminence of the effective date is also good cause for making this rule effective immediately upon publication.",Final rule; delay of effective date.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","The effective date of the Special Supplemental Nutrition Program for Women, Infants and Children (WIC); Food Delivery Systems regulation, published in the Federal Register on December 29, 2000, at 65 FR 83248, is delayed for 60 days, from February 27, 2001, to a new effective date of April 28, 2001.",66 FR 8885,01-2862,0584-AA80,https://www.federalregister.gov/api/v1/documents/01-2862?publication_date=2001-02-05,https://www.federalregister.gov/documents/full_text/text/2001/02/05/01-2862.txt,https://www.federalregister.gov/documents/2001/02/05/01-2862/special-supplemental-nutrition-program-for-women-infants-and-children-wic-food-delivery-systems,george-w-bush,2001-02-05 00:00:00 UTC,2001,2,1.0
29,2001-02-05,2001-01-12,"[{'raw_name': 'DEPARTMENT OF AGRICULTURE', 'name': 'Agriculture Department', 'id': 12, 'url': 'https://www.federalregister.gov/agencies/agriculture-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/12', 'parent_id': None, 'slug': 'agriculture-department'}, {'raw_name': 'Food and Nutrition Service', 'name': 'Food and Nutrition Service', 'id': 200, 'url': 'https://www.federalregister.gov/agencies/food-and-nutrition-service', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/200', 'parent_id': 12, 'slug': 'food-and-nutrition-service'}]","Agriculture Department, Food and Nutrition Service",Food Stamp Program: Revisions to the Retail Food Store Definition and Program Authorization Guidance: Delay of Effective Date,"In accordance with the memorandum of January 20, 2001, from the Assistant to the President and Chief Staff, entitled ``Regulatory Review Plan,'' published in the Federal Register on January 24, 2001, this action temporarily delays for 60 days the effective date of the rule entitled Food Stamp Program: Food Revisions to the Retail Food Store Definition and Program Authorization Guidance, published in the Federal Register on January 12, 2001, 66 FR 2795. The rule implements provisions of the Food Stamp Progam Improvements Act of 1994 to revise the criteria for eligibility of firms to participate in the Food Stamp Program as retail food stores, and to provide for notification to such firms of eligibility criteria for participation in the Food Stamp Program. To the extent that 5 U.S.C. section 553 applies to this action, it is exempt from notice and comment because it constitutes a rule of procedure under 5 U.S.C. section 553(b)(A). Alternatively the Department's implementation of this rule without opportunity for public comment, effective immediately upon publication today in the Federal Register, is based on the good cause exceptions in 5 U.S.C. section 553(b)(B) and 553(d)(3). Seeking public comment is impracticable, unnecessary and contrary to the public interest. The temporary 60-day delay in effective date is necessary to give Department officials the opportunity for further review and consideration of new regulations, consistent with the Assistant to the President's memorandum of January 20, 2001. Given the imminence of the effective date, seeking prior public comment on this temporary delay would have been impractical, as well as contrary to the public interest in the orderly promulgation and implementation of regulations. The imminence of the effective date is also good cause for making this rule effective immediately upon publication.",Final rule; delay of effective date.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","The effective date of the Food Stamp Program: Food Stamp Program: Revisions to the Retail Food Store Definition and Program Authorization Guidance, published in the Federal Register on January 12, 2001, at 66 FR 2795, is delayed for 60 days, from February 12, 2001, to a new effective date of April 13, 2001.",66 FR 8885,01-2863,0584-AB90,https://www.federalregister.gov/api/v1/documents/01-2863?publication_date=2001-02-05,https://www.federalregister.gov/documents/full_text/text/2001/02/05/01-2863.txt,https://www.federalregister.gov/documents/2001/02/05/01-2863/food-stamp-program-revisions-to-the-retail-food-store-definition-and-program-authorization-guidance,george-w-bush,2001-02-05 00:00:00 UTC,2001,2,1.0
30,2001-02-05,2001-01-17,"[{'raw_name': 'DEPARTMENT OF AGRICULTURE', 'name': 'Agriculture Department', 'id': 12, 'url': 'https://www.federalregister.gov/agencies/agriculture-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/12', 'parent_id': None, 'slug': 'agriculture-department'}, {'raw_name': 'Food and Nutrition Service', 'name': 'Food and Nutrition Service', 'id': 200, 'url': 'https://www.federalregister.gov/agencies/food-and-nutrition-service', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/200', 'parent_id': 12, 'slug': 'food-and-nutrition-service'}]","Agriculture Department, Food and Nutrition Service",Food Stamp Program: Personal Responsibility of the Personal Responsibility and Work Opportunity Reconciliation Act of 1996: Delay of Effective Date,"In accordance with the memorandum of January 20, 2001, from the Assistant to the President and Chief of Staff, entitled ``Regulatory Review Plan,'' published in the Federal Register on January 24, 2001, this action temporarily delays for 60 days the effective date of the rule entitled Food Stamp Program: Personal Responsibility Provisions of the Personal Responsibility and Work Opportunity Reconciliation Act of 1996, published in the Federal Register on January 17, 2001, 66 FR 4438. The rule implements 13 provisions of the Personal Responsibility and Work Opportunity Reconciliation Act of 1996. To the extent that 5 U.S.C. section 553 applies to this section, it is exempt from notice and comment because it constitutes a rule of procedure under 5 U.S.C. section 553(b)(A). Alternatively, the Department's implementation of this rule without opportunity for public comment, effective immediately upon publication today in the Federal Register, is based on the good cause exceptions in 5 U.S.C. section 553(b) B) and 553(d)(3). Seeking public comment is impracticable, unnecessary and contrary to the public interest. The temporary 60-day delay in effective date is necessary to give Department officials the opportunity for further review and consideration of new regulations, consistent with the Assistant to the President's memorandum of January 20, 2001. Given the imminence of the effective date, seeking prior public comment on this temporary delay would have been impractical, as well as contrary to the public interest in the orderly promulgation and implementation of regulations. The imminence of the effective date is also good cause for making this rule effective immediately upon publication.",Final rule; delay of effective date.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","The effective date of the Food Stamp Program: Personal Responsibility Provisions of the Personal Responsibility and Work Opportunity Reconciliation Act of 1996, published in the Federal Register on January 17, 2001, at 66 FR 4438, is delayed for 60 days, from April 2, 2001, to a new effective date of June 1, 2001 except for the amendments to 7 CFR 272.2(d)(1)(xiii) which retains the effective date of August 1, 2001.",66 FR 8886,01-2864,,https://www.federalregister.gov/api/v1/documents/01-2864?publication_date=2001-02-05,https://www.federalregister.gov/documents/full_text/text/2001/02/05/01-2864.txt,https://www.federalregister.gov/documents/2001/02/05/01-2864/food-stamp-program-personal-responsibility-of-the-personal-responsibility-and-work-opportunity,george-w-bush,2001-02-05 00:00:00 UTC,2001,2,1.0
31,2001-02-05,2001-01-09,"[{'raw_name': 'DEPARTMENT OF AGRICULTURE', 'name': 'Agriculture Department', 'id': 12, 'url': 'https://www.federalregister.gov/agencies/agriculture-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/12', 'parent_id': None, 'slug': 'agriculture-department'}, {'raw_name': 'Farm Service Agency', 'name': 'Farm Service Agency', 'id': 157, 'url': 'https://www.federalregister.gov/agencies/farm-service-agency', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/157', 'parent_id': 12, 'slug': 'farm-service-agency'}, {'raw_name': 'Rural Housing Service', 'name': 'Rural Housing Service', 'id': 458, 'url': 'https://www.federalregister.gov/agencies/rural-housing-service', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/458', 'parent_id': 12, 'slug': 'rural-housing-service'}, {'raw_name': 'Rural Business-Cooperative Service', 'name': 'Rural Business-Cooperative Service', 'id': 456, 'url': 'https://www.federalregister.gov/agencies/rural-business-cooperative-service', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/456', 'parent_id': 12, 'slug': 'rural-business-cooperative-service'}, {'raw_name': 'Rural Utilities Service', 'name': 'Rural Utilities Service', 'id': 460, 'url': 'https://www.federalregister.gov/agencies/rural-utilities-service', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/460', 'parent_id': 12, 'slug': 'rural-utilities-service'}, {'raw_name': 'Farm Service Agency', 'name': 'Farm Service Agency', 'id': 157, 'url': 'https://www.federalregister.gov/agencies/farm-service-agency', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/157', 'parent_id': 12, 'slug': 'farm-service-agency'}]","Agriculture Department, Farm Service Agency, Rural Housing Service, Rural Business-Cooperative Service, Rural Utilities Service, Farm Service Agency",Loans to Indian Tribes and Tribal Corporations: Delay of Effective Date,"In accordance with the memorandum of January 20, 2001, from the Assistant to the President and Chief of Staff, entitled ``Regulatory Review Plan,'' published in the Federal Register on January 24, 2001, this action temporarily delays for 60 days the effective date of the rule entitled Loans to Indian Tribes and Tribal Corporations, published in the Federal Register on January 9, 2001, 66 FR 1563. That rule consolidates and revises the Indian Tribal Land Acquisition Program regulations. To the extent that 5 U.S.C. section 553 applies to this action, it is exempt from notice and comment because it constitutes a rule of procedure under 5 U.S.C. section 553(b)(A). Alternatively, the Department's implementation of this rule without opportunity for public comment, effective immediately upon publication today in the Federal Register, is based on the good cause exceptions in 5 U.S.C. section 553(b)(B) and 553(d)(3). Seeking public comment is impracticable, unnecessary and contrary to the public interest. The temporary 60-day delay in effective date is necessary to give Department officials the opportunity for further review and consideration of new regulations, consistent with the Assistant to the President's memorandum of January 20, 2001. Given the imminence of the effective date, seeking prior public comment on this temporary delay would have been impractical, as well as contrary to the public interest in the orderly promulgation and implementation of regulations. The imminence of the effective date is also good cause for making this rule effective immediately upon publication.",Final rule; delay of effective date.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","The effective date of the Loans to Indian Tribes and Tribal Corporations, published in the Federal Register on January 9, 2001, at 66 FR 1563, is delayed for 60 days, from February 8, 2001 to a new effective date of April 9, 2001.",66 FR 8886,01-2868,0560-AF43,https://www.federalregister.gov/api/v1/documents/01-2868?publication_date=2001-02-05,https://www.federalregister.gov/documents/full_text/text/2001/02/05/01-2868.txt,https://www.federalregister.gov/documents/2001/02/05/01-2868/loans-to-indian-tribes-and-tribal-corporations-delay-of-effective-date,george-w-bush,2001-02-05 00:00:00 UTC,2001,2,1.0
32,2001-02-05,2000-12-18,"[{'raw_name': 'DEPARTMENT OF AGRICULTURE', 'name': 'Agriculture Department', 'id': 12, 'url': 'https://www.federalregister.gov/agencies/agriculture-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/12', 'parent_id': None, 'slug': 'agriculture-department'}, {'raw_name': 'Animal and Plant Health Inspection Service', 'name': 'Animal and Plant Health Inspection Service', 'id': 22, 'url': 'https://www.federalregister.gov/agencies/animal-and-plant-health-inspection-service', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/22', 'parent_id': 12, 'slug': 'animal-and-plant-health-inspection-service'}]","Agriculture Department, Animal and Plant Health Inspection Service",Specifically Approved States Authorized to Receive Mares and Stallions Imported from Regions. Where CEM Exists: Delay of Effective Date,"In accordance with the memorandum of January 20, 2001, from the Assistant to the President and Chief of Staff, entitled ``Regulatory Review Plan,'' published in the Federal Register on January 24, 2001, this action temporarily delays for 60 days the effective date of the rule entitled Specifically Approved States Authorized to Receive Mares and Stallions Imported from Regions Where CEM Exists, published in the Federal Register on December 18, 2000, 65 FR 78897. The rule amends the animal importation regulations in 9 CFR part 93 by adding Oregon to the lists of States approved to receive certain mares and stallions imported into the United States from regions affected with contagious equine metritis (CEM). To the extent that 5 U.S.C. section 553 applies to this action, it is exempt from notice and comment because it constitutes a rule of procedure under 5 U.S.C. section 553(b)(A). Alternatively, the Department's implementation of this rule without opportunity for public comment, effective immediately upon publication today in the Federal Register, is based on the good cause exceptions in 5 U.S.C. section 553(b)(B) and 553(d)(3). Seeking public comment is impracticable, unnecessary and contrary to the public interest. The temporary 60-day delay in effective date is necessary to give Department officials the opportunity for further review and consideration of new regulations, consistent with the Assistant to the President's memorandum of January 20, 2001. Given the imminence of the effective date, seeking prior public comment on this temporary delay would have been impractical, as well as contrary to the public interest in the orderly promulgation and implementation of regulations. The imminence of the effective date is also good cause for making this rule effective immediately upon publication.",Final Rule; delay of effective date.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","The effective date of the Specifically Approved States Authorized to Receive Mares and Stallions Imported from Regions Where CEM Exists regulation, published in the Federal Register on December 18, 2000 at 65 FR 78897, is delayed for 60 days, from February 16, 2001 to a new effective date of April 17, 2001.",66 FR 8887,01-2866,,https://www.federalregister.gov/api/v1/documents/01-2866?publication_date=2001-02-05,https://www.federalregister.gov/documents/full_text/text/2001/02/05/01-2866.txt,https://www.federalregister.gov/documents/2001/02/05/01-2866/specifically-approved-states-authorized-to-receive-mares-and-stallions-imported-from-regions-where,george-w-bush,2001-02-05 00:00:00 UTC,2001,2,1.0
33,2001-02-05,2001-01-17,"[{'raw_name': 'DEPARTMENT OF THE INTERIOR', 'name': 'Interior Department', 'id': 253, 'url': 'https://www.federalregister.gov/agencies/interior-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/253', 'parent_id': None, 'slug': 'interior-department'}, {'raw_name': 'Bureau of Indian Affairs', 'name': 'Indian Affairs Bureau', 'id': 234, 'url': 'https://www.federalregister.gov/agencies/indian-affairs-bureau', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/234', 'parent_id': 253, 'slug': 'indian-affairs-bureau'}]","Interior Department, Indian Affairs Bureau","Loan Guaranty, Insurance, and Interest Subsidy: Delay of Effective Date","In accordance with the memorandum of January 20, 2001, from the Assistant to the President and Chief of Staff, entitled ``Regulatory Review Plan,'' 66 Fed. Reg. 7701 (Jan. 24, 2001), this document temporarily delays for 60 days the effective date of the rule entitled Loan Guaranty, Insurance, and Interest Subsidy, published in the Federal Register on January 17, 2001, at 66 FR 3861. That rule concerns implementation of the Bureau's Loan Guaranty, Insurance, and Interest Subsidy Program to guarantee or insure loans made by private lenders to individual Indians and to organizations of Indians, and to assist qualified borrowers with a portion of their interest payments.",Final rule; delay of effective date.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","The effective date of the Loan Guaranty, Insurance, and Interest Subsidy rule, amending 25 CFR part 103, published in the Federal Register on January 17, 2001, at 66 FR 3861, is delayed for 60 days, from February 16, 2001 to a new effective date of April 17, 2001.",66 FR 8898,01-2964,1076-AD73,https://www.federalregister.gov/api/v1/documents/01-2964?publication_date=2001-02-05,https://www.federalregister.gov/documents/full_text/text/2001/02/05/01-2964.txt,https://www.federalregister.gov/documents/2001/02/05/01-2964/loan-guaranty-insurance-and-interest-subsidy-delay-of-effective-date,george-w-bush,2001-02-05 00:00:00 UTC,2001,2,1.0
34,2001-02-05,2001-01-16,"[{'raw_name': 'DEPARTMENT OF THE INTERIOR', 'name': 'Interior Department', 'id': 253, 'url': 'https://www.federalregister.gov/agencies/interior-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/253', 'parent_id': None, 'slug': 'interior-department'}, {'raw_name': 'Bureau of Indian Affairs', 'name': 'Indian Affairs Bureau', 'id': 234, 'url': 'https://www.federalregister.gov/agencies/indian-affairs-bureau', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/234', 'parent_id': 253, 'slug': 'indian-affairs-bureau'}]","Interior Department, Indian Affairs Bureau",Acquisition of Title to Land in Trust: Delay of Effective Date,"In accordance with the memorandum of January 20, 2001, from the Assistant to the President and Chief of Staff, entitled ``Regulatory Review Plan,'' 66 FR 7701 (Jan. 24, 2001), this document temporarily delays for 60 days the effective date of the rule entitled Acquisition of Title to Land in Trust, published in the Federal Register on January 16, 2001, at 66 FR 3452. That rule concerns procedures used by Indian tribes and individuals to ask the Secretary of the Interior to acquire title to land into trust and criteria used to determine whether to accept land to be held in trust.",Final rule; delay of effective date.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","The effective date of the Acquisition of Title to Land in Trust rule, amending 25 CFR part 151, published in the Federal Register on January 16, 2001, at 66 FR 3452, is delayed for 60 days, from January 16, 2001 to a new effective date of March 17, 2001.",66 FR 8899,01-2963,1076-AD90,https://www.federalregister.gov/api/v1/documents/01-2963?publication_date=2001-02-05,https://www.federalregister.gov/documents/full_text/text/2001/02/05/01-2963.txt,https://www.federalregister.gov/documents/2001/02/05/01-2963/acquisition-of-title-to-land-in-trust-delay-of-effective-date,george-w-bush,2001-02-05 00:00:00 UTC,2001,2,1.0
35,2001-02-05,2001-01-12,"[{'raw_name': 'DEPARTMENT OF AGRICULTURE', 'name': 'Agriculture Department', 'id': 12, 'url': 'https://www.federalregister.gov/agencies/agriculture-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/12', 'parent_id': None, 'slug': 'agriculture-department'}, {'raw_name': 'Forest Service', 'name': 'Forest Service', 'id': 209, 'url': 'https://www.federalregister.gov/agencies/forest-service', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/209', 'parent_id': 12, 'slug': 'forest-service'}]","Agriculture Department, Forest Service",Special Areas; Roadless Area Conservation: Delay of Effective Date,"In accordance with the memorandum of January 20, 2001, from the Assistant to the President and Chief of Staff, entitled ``Regulatory Review Plan,'' published in the Federal Register on January 24, 2001, this action temporarily delays for 60 days the effective date of the rule entitled Special Areas; Roadless Area Conservation, published in the Federal Register on January 12, 2001, 66 FR 3244. That rule concerns the establishment of prohibitions on road construction, road reconstruction, and timber harvesting in inventoried roadless areas on National Forest System lands. To the extent that 5 U.S.C. section 553 applies to this action, it is exempt from notice and comment because it constitutes a rule of procedure under 5 U.S.C. section 553(b)(A). Alternatively, the Department's implementation of this rule without opportunity for public comment, effective immediately upon publication today in the Federal Register, is based on the good cause exceptions in 5 U.S.C. section 553(b)(B) and 553(d)(3). Seeking public comment is impracticable, unnecessary and contrary to the public interest. The temporary 60-day delay in effective date is necessary to give Department officials the opportunity for further review and consideration of new regulations, consistent with the Assistant to the President's memorandum of January 20, 2001. Given the imminence of the effective date, seeking prior public comment on this temporary delay would have been impractical, as well as contrary to the public interest in the orderly promulgation and implementation of regulations. The imminence of the effective date is also good cause for making this rule effective immediately upon publication.",Final rule; Delay of effective date.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","The effective date of the Special Areas; Roadless Area Conservation, published in the Federal Register on January 12, 2001, at 66 FR 3244, is delayed for 60 days, from March 13, 2001 to a new effective date of May 12, 2001.",66 FR 8899,01-2869,0596-AB77,https://www.federalregister.gov/api/v1/documents/01-2869?publication_date=2001-02-05,https://www.federalregister.gov/documents/full_text/text/2001/02/05/01-2869.txt,https://www.federalregister.gov/documents/2001/02/05/01-2869/special-areas-roadless-area-conservation-delay-of-effective-date,george-w-bush,2001-02-05 00:00:00 UTC,2001,2,1.0
36,2001-02-06,2000-08-10,"[{'raw_name': 'ENVIRONMENTAL PROTECTION AGENCY', 'name': 'Environmental Protection Agency', 'id': 145, 'url': 'https://www.federalregister.gov/agencies/environmental-protection-agency', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/145', 'parent_id': None, 'slug': 'environmental-protection-agency'}]",Environmental Protection Agency,Amendments to Standards of Performance for New Stationary Sources; Monitoring Requirements: Delay of Effective Date,"In accordance with the memorandum of January 20, 2001, from the Assistant to the President and Chief of Staff, entitled ``Regulatory Review Plan,'' published in the Federal Register on January 24, 2001, this action temporarily delays for 60 days the effective date of the rule entitled Amendments to Standards of Performance for New Stationary Sources; Monitoring Requirements, published in the Federal Register on August 10, 2000, 65 FR 48914. That rule concerns revising monitoring requirements to Performance Specification 1 (PS-1) of appendix B to part 60. The revisions clarify and update requirements for source owners and operators who must install and use continuous stack or duct opacity monitoring equipment. The revisions also update design and performance validation requirements for continuous opacity monitoring system (COMS) equipment in appendix B, PS-1.",Final Rule; Delay of Effective Date.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","The effective date of the final rule amendments to standards of performance for new stationary sources; monitoring requirements, published in the Federal Register on August 10, 2000, at 65 FR 48914, is delayed for 60 days, from February 6, 2001, to a new effective date of April 9, 2001.",66 FR 9034,01-3200,2060-AG22,https://www.federalregister.gov/api/v1/documents/01-3200?publication_date=2001-02-06,https://www.federalregister.gov/documents/full_text/text/2001/02/06/01-3200.txt,https://www.federalregister.gov/documents/2001/02/06/01-3200/amendments-to-standards-of-performance-for-new-stationary-sources-monitoring-requirements-delay-of,george-w-bush,2001-02-06 00:00:00 UTC,2001,2,1.0
37,2001-02-07,2001-01-11,"[{'raw_name': 'OFFICE OF PERSONNEL MANAGEMENT', 'name': 'Personnel Management Office', 'id': 406, 'url': 'https://www.federalregister.gov/agencies/personnel-management-office', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/406', 'parent_id': None, 'slug': 'personnel-management-office'}]",Personnel Management Office,Repayment of Student Loans: Delay of Effective Date,"In accordance with the memorandum of January 20, 2001, from the Assistant to the President and Chief of Staff, entitled ``Regulatory Review Plan,'' published in the Federal Register on January 24, 2001, this action temporarily delays for 60 days the effective date of the rule entitled Repayment of Student Loans, published in the Federal Register on January 11, 2001, [66 FR 2790]. That rule authorizes Federal agencies to repay federally insured student loans when necessary to recruit or retain highly qualified professional, technical, or administrative personnel. To the extent that 5 U.S.C. section 553 applies to this action, it is exempt from notice and comment because it constitutes a rule of procedure under 5 U.S.C. 553(b)(A). Alternately, the Agency's implementation of this action without opportunity for public comment, effective immediately upon publication today in the Federal Register, is based on the good cause exceptions in 5 U.S.C. section 552(b)(B) and 553(d)(3) seeking public comment is impracticable, unnecessary and contrary to the public interest. The temporary 60-day delay in effective date is necessary to give Department officials the opportunity for further review and consideration of new regulations, consistent with the Assistant to the President's memorandum of January 20, 2001. Given the imminence of the effective date, seeking prior public comment on this temporary delay would have been impractical, as well as contrary to the public interest in the orderly promulgation and implementation of regulations. The imminence of the effective date is also good cause for making this action effective immediately upon publication.",Final rulemaking; delay of effective date.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","The effective date of the Repayment of Student Loans, published in the Federal Register on January 11, 2001, at 66 FR 2790, is delayed for 60 days, from February 12, 2001, to a new effective date of April 12, 2001.",66 FR 9187,01-3104,3206-AJ12,https://www.federalregister.gov/api/v1/documents/01-3104?publication_date=2001-02-07,https://www.federalregister.gov/documents/full_text/text/2001/02/07/01-3104.txt,https://www.federalregister.gov/documents/2001/02/07/01-3104/repayment-of-student-loans-delay-of-effective-date,george-w-bush,2001-02-07 00:00:00 UTC,2001,2,1.0
38,2001-02-07,2001-01-08,"[{'raw_name': 'DEPARTMENT OF TRANSPORTATION', 'name': 'Transportation Department', 'id': 492, 'url': 'https://www.federalregister.gov/agencies/transportation-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/492', 'parent_id': None, 'slug': 'transportation-department'}, {'raw_name': 'Federal Highway Administration', 'name': 'Federal Highway Administration', 'id': 170, 'url': 'https://www.federalregister.gov/agencies/federal-highway-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/170', 'parent_id': 492, 'slug': 'federal-highway-administration'}]","Transportation Department, Federal Highway Administration",Intelligent Transportation System Architecture and Standards: Delay of Effective Date,"In accordance with the memorandum of January 20, 2001, from the Assistant to the President and Chief of Staff, entitled ``Regulatory Review Plan,'' published in the Federal Register on January 24, 2001, this action temporarily delays for 60 days the effective date of the rule entitled Intelligent Transportation System Architecture and Standards, published in the Federal Register on January 8, 2001, 66 FR 1446. The rule concerns Intelligent Transportation System (ITS) projects carried out using funds made available from the Highway Trust Fund. This rule requires regions which have implemented ITS or are planning ITS implementations to develop a regional ITS architecture, based on the National ITS Architecture, to guide their implementation.",Final rule; delay of effective date.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","The effective date of the Intelligent Transportation System Architecture and Standards rule, published in the Federal Register on January 8, 2001, at 66 FR 1446, is delayed for 60 days, from February 7, 2001, to a new effective date of April 8, 2001.",66 FR 9198,01-3206,2125-AE65,https://www.federalregister.gov/api/v1/documents/01-3206?publication_date=2001-02-07,https://www.federalregister.gov/documents/full_text/text/2001/02/07/01-3206.txt,https://www.federalregister.gov/documents/2001/02/07/01-3206/intelligent-transportation-system-architecture-and-standards-delay-of-effective-date,george-w-bush,2001-02-07 00:00:00 UTC,2001,2,1.0
39,2001-02-07,2001-01-09,"[{'raw_name': 'ENVIRONMENTAL PROTECTION AGENCY', 'name': 'Environmental Protection Agency', 'id': 145, 'url': 'https://www.federalregister.gov/agencies/environmental-protection-agency', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/145', 'parent_id': None, 'slug': 'environmental-protection-agency'}]",Environmental Protection Agency,"Environmental Program Grants-State, Interstate, and Local Government Agencies: Delay of Effective Date","In accordance with the memorandum of January 20, 2001, from the Assistant to the President and Chief of Staff, entitled ``Regulatory Review Plan,'' published in the Federal Register on January 24, 2001, this action temporarily delays for 60 days the effective date of the rule entitled Environmental Program Grants-State, Interstate, and Local Government Agencies, published in the Federal Register on January 9, 2001, 66 FR 1725. This regulation updates, clarifies, and streamlines requirements governing environmental program grants and establishes requirements for the Performance Partnership Grant (PPG) program.",Final rule; delay of effective date.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","The effective date of the Environmental Program Grants State, Interstate, and Local Government Agencies, amending 40 CFR parts 35 and 735, published in the Federal Register on January 9, 2001, at 66 FR 1725, is delayed for 60 days, from February 8, 2001, to a new effective date of April 9, 2001. This regulation applies to new grants awarded after April 9, 2001, and it may be applied to currently active PPGs, if agreed to in writing by the Regional Administrator and the recipient.",66 FR 9202,01-3180,,https://www.federalregister.gov/api/v1/documents/01-3180?publication_date=2001-02-07,https://www.federalregister.gov/documents/full_text/text/2001/02/07/01-3180.txt,https://www.federalregister.gov/documents/2001/02/07/01-3180/environmental-program-grants-state-interstate-and-local-government-agencies-delay-of-effective-date,george-w-bush,2001-02-07 00:00:00 UTC,2001,2,1.0
